Name_in_tree,Body_Mass,Jaw_Protrusion_Distance,Adductor_Mandibulae_Mass,Sternohyoideus_Mass,Fifth_Ceratobranchial_Mass,Lower_Jaw_Closing_Mechanical_Advantage,Lower_Jaw_Opening_Mechanical_Advantage,Quadrate_Offset,Hyoid_Neurocranium_Kinematic_Transmission_Coefficient,Oral_Jaw_Kinematic_Transmission_Coefficient,Suction_Index
Herotilapia_multispinosa,29.7333,2.0433,0.1036,0.1207,0.0385,0.3309,0.2581,0.6729,2.2474,1.1362,0.3402
Hoplarchus_psittacus,25.3,3.235,0.207,0.1465,0.0637,0.2399,0.2303,0.3865,1.1891,0.9514,0.1633
Hypselecara_coryphaenoides,51.25,3.7617,0.2945,0.1899,0.097,0.2194,0.1797,0.3044,2.0403,0.7134,0.2313
Hypsophys_nicaraguensis,25.4,2.1863,0.0886,0.0713,0.0455,0.2599,0.229,0.4496,1.3112,1,0.1534
Krobia_petitella1,43.9333,3.4956,0.2164,0.1946,0.0741,0.2334,0.2384,0.425,1.4994,0.8913,0.2613
Laetacara_dorsigera,4.3333,1.4017,0.0105,0.013,0.0072,0.2487,0.2423,0.4898,0.9775,1.2981,0.2872
Mayaheros_urophthalmus,70.3667,3.6867,0.4017,0.3399,0.3437,0.2455,0.2027,0.3874,1.8121,0.9426,0.1806
Mazarunia_charadrica,8.2,1.5783,0.0373,0.0275,0.0177,0.2208,0.2681,0.4739,0.6699,1.0314,0.2159
Mazarunia_mazarunii,2.7333,1.5109,0.0088,0.0094,0.0028,0.232,0.2257,0.5085,0.749,1.0819,0.2253
Mesoheros_festae,31.8,4.4933,0.1068,0.1047,0.0597,0.2501,0.1964,0.4099,1.8323,0.8708,0.2305
Mesonauta_insignis,30.7333,2.6127,0.096,0.0695,0.0439,0.2657,0.2132,0.4324,0.7411,1.674,0.2336
Mikrogeophagus_altispinosus,1.3767,1.2873,0.0029,0.0024,0.003,0.2357,0.2214,0.4018,0.6968,1.3564,0.0811
Mikrogeophagus_ramirezi,0.8962,0.4601,0.0023,0.0026,0.001,0.2713,0.2321,0.5153,1.5034,1.3345,0.2747
Nandopsis_haitiensis,38.1,3.7933,0.2634,0.1926,0.1395,0.229,0.2235,0.3405,2.9123,0.7396,0.1894
Nandopsis_tetracanthus,179,5.1733,0.8603,0.8317,0.4738,0.2127,0.2233,0.2538,1.673,0.8675,0.2092
Nannacara_anomala,0.8688,0.5904,0.0032,0.0024,0.0009,0.2441,0.2148,0.4138,1.3953,1.2569,0.1341
Parachromis_dovii,144.0333,6.9189,0.989,0.5883,0.3123,0.2086,0.2312,0.3318,2.501,1.0984,0.0517
Parachromis_friedrichsthalii,93.35,5.5733,0.9125,0.533,0.4292,0.2146,0.2138,0.2913,1.4569,1.1333,0.0743
Petenia_splendida,154.9667,15.2411,0.8991,0.856,0.2621,0.1831,0.1672,0.325,2.346,0.9134,0.0488
Pterophyllum_scalare,19.85,2.1292,0.0307,0.0699,0.0142,0.2147,0.1988,0.4293,0.7105,1.2862,0.6312
Retroculus_sp,39.3667,3.5878,0.2125,0.1684,0.1278,0.2072,0.209,0.2441,0.4262,1.1389,0.164
Rocio_octofasciata,31.2333,3.2556,0.1785,0.1438,0.0729,0.2247,0.1827,0.3943,1.471,1.8513,0.1606
Satanoperca_daemon,15.7,3.5153,0.0847,0.053,0.0128,0.2773,0.2036,0.3875,2.3922,1.1562,0.1459
Satanoperca_jurupari,122.6,5.66,0.5727,0.4478,0.1098,0.2387,0.2034,0.2987,1.5764,1.4423,0.1536
Symphysodon_aequifasciatus1,33.95,1.7879,0.0916,0.1336,0.008,0.3372,0.3303,0.5963,0.5953,1.3553,0.8615
Taeniacara_candidi,0.4674,0.621,0.0022,0.0011,0.0005,0.2398,0.1631,0.425,0.6047,2.2626,0.0648
Teleocichla_preta,17.1,1.4093,0.131,0.0255,0.0496,0.1608,0.1727,0.2671,0.2523,1.1945,0.0665
Theraps_irregularis,47.75,3.6417,0.3272,0.1668,0.1228,0.2254,0.2351,0.4686,0.9454,1.0877,0.1116
Thorichthys_meeki,36.5333,4.4933,0.1566,0.1519,0.1618,0.2222,0.213,0.3772,1.7671,1.173,0.1499
Trichromis_salvini,20.6,4.5411,0.1709,0.0939,0.0513,0.2353,0.1791,0.3153,2.1404,1.1759,0.1398
Uaru_amphiacanthoides,71.7333,3.4189,0.2362,0.212,0.1441,0.2737,0.2524,0.4712,1.5086,0.7312,0.393
